Restaurant,Latitude,Longitude,Cuisines,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Cook_Time
ID_6321,39.26260512,-85.83737224,"Fast Food, Rolls, Burger, Salad, Wraps",$20.00,$50.00,3.5,12,4,30 minutes
ID_2882,39.77593257,-85.74058103,"Ice Cream, Desserts",$10.00,$50.00,3.5,11,4,30 minutes
ID_1595,39.25343575,-85.12377878,"Italian, Street Food, Fast Food",$15.00,$50.00,3.6,99,30,65 minutes
ID_5929,39.02984064,-85.33205,"Mughlai, North Indian, Chinese",$25.00,$99.00,3.7,176,95,30 minutes
ID_6123,39.88228385,-85.51740684,"Cafe, Beverages",$20.00,$99.00,3.2,521,235,65 minutes
ID_5221,39.37044062,-85.7395156,"South Indian, North Indian, Chinese",$15.00,$50.00,3.8,46,18,30 minutes
ID_3777,39.82180556,-85.00557692,"Beverages, Fast Food",$15.00,$50.00,3.7,108,31,30 minutes
ID_745,39.28032424,-85.14436284,"Chinese, Thai, Asian",$65.00,$50.00,4.0,1731,1235,45 minutes
ID_2970,39.26881632,-85.60216807,"Mithai, Street Food",$10.00,$50.00,3.9,110,26,30 minutes
ID_3474,39.87452148,-85.43996296,"Fast Food, North Indian, Rolls, Chinese, Momos, Mughlai",$20.00,$50.00,3.9,562,294,65 minutes
ID_5159,39.9283325,-85.16769125,"North Indian, Chinese, Mughlai",$35.00,$50.00,3.8,186,61,30 minutes
ID_1696,39.39713844,-85.13530029,"Chinese, Thai, Indonesian, Italian",$80.00,$50.00,4.2,1693,1239,45 minutes
ID_1156,39.30732483,-85.9500701,"Burger, Fast Food, Desserts, Beverages",$15.00,$50.00,-,-,-,30 minutes
ID_354,39.6919177,-85.44103659,Beverages,$5.00,$0.00,3.8,184,128,45 minutes
ID_6891,39.65671842,-85.58876556,Fast Food,$10.00,$50.00,3.5,23,5,30 minutes
ID_6406,39.97728307,-85.093808,"Biryani, Mughlai",$10.00,$50.00,3.6,353,53,30 minutes
ID_2141,39.08688537,-85.86213009,Italian,$10.00,$50.00,-,-,-,30 minutes
ID_3355,39.3169186,-85.03286776,"Chinese, North Indian, South Indian, Fast Food",$20.00,$50.00,3.7,139,47,30 minutes
ID_5262,39.32256304,-85.91417317,"Kerala, Bihari",$15.00,$50.00,-,-,-,30 minutes
ID_8148,39.01537008,-85.48212577,South Indian,$10.00,$50.00,3.7,159,46,30 minutes
ID_1681,39.04035565,-85.07508699,"Chinese, North Indian, Rolls, Momos",$20.00,$99.00,2.8,67,23,45 minutes
ID_3994,39.26024791,-85.1826796,"North Indian, Rolls",$15.00,$50.00,3.9,387,160,45 minutes
ID_4012,39.50725946,-85.3282007,"North Indian, Chinese",$25.00,$50.00,3.0,5,2,30 minutes
ID_240,39.12819257,-85.51174157,"Biryani, North Indian",$20.00,$99.00,3.7,138,26,65 minutes
ID_4751,39.17216717,-85.13841279,"North Indian, Chinese, Fast Food",$15.00,$50.00,3.2,4,1,30 minutes
ID_4944,39.33152871,-85.59425749,"Desserts, Ice Cream",$10.00,$50.00,-,-,-,45 minutes
ID_7029,39.35372398,-85.72067562,"North Indian, Chinese",$10.00,$99.00,3.7,110,38,45 minutes
ID_6769,39.15068439,-85.84951567,"Fast Food, South Indian, Street Food",$15.00,$50.00,3.2,15,9,45 minutes
ID_5547,39.90737096,-85.77399833,North Indian,$15.00,$50.00,3.3,44,19,45 minutes
ID_1957,39.25831369,-85.34571572,"North Indian, Chinese",$20.00,$50.00,3.8,18,18,30 minutes
ID_425,39.73309187,-85.99816833,North Indian,$15.00,$50.00,3.2,18,7,30 minutes
ID_4965,39.04356204,-85.48927318,"Cafe, Mexican, Japanese, Italian, Chinese",$40.00,$50.00,4.0,189,132,30 minutes
ID_5192,39.27094825,-85.87305721,"Bakery, Fast Food, Rolls, Beverages",$20.00,$50.00,3.1,279,74,45 minutes
ID_6079,39.25619902,-85.99034723,"North Indian, Chinese",$35.00,$99.00,3.3,22,13,45 minutes
ID_3069,39.12420165,-85.93904552,North Indian,$10.00,$50.00,4.0,581,111,30 minutes
ID_1160,39.24628894,-85.15291546,"Asian, Burmese, Bubble Tea, Desserts, Salad, Tea, Beverages, Ice Cream",$60.00,$50.00,4.7,914,499,45 minutes
ID_4494,39.37648495,-85.82867796,Street Food,$10.00,$50.00,3.4,23,7,30 minutes
ID_2139,39.40411112,-85.26715519,"Fast Food, South Indian",$10.00,$50.00,3.6,105,53,30 minutes
ID_332,39.62969093,-85.16622409,"Pizza, Fast Food",$20.00,$50.00,3.5,305,29,45 minutes
ID_1209,39.54322828,-85.30579037,"Cafe, Desserts",$30.00,$50.00,3.6,54,34,30 minutes
ID_5285,39.01000957,-85.86389745,"Mughlai, North Indian",$20.00,$50.00,4.0,1408,851,45 minutes
ID_7544,39.49198127,-85.74235762,"Desserts, Beverages",$15.00,$50.00,4.1,806,513,45 minutes
ID_7299,39.04229877,-85.89778192,"Bakery, Desserts, Beverages",$15.00,$50.00,3.7,41,22,30 minutes
ID_4154,39.33423916,-85.7847045,South Indian,$10.00,$50.00,3.7,100,27,45 minutes
ID_3869,39.55719429,-85.0490149,North Indian,$20.00,$50.00,3.6,106,32,30 minutes
ID_6868,39.33905711,-85.11733849,"North Indian, Street Food",$20.00,$50.00,3.8,37,25,30 minutes
ID_1641,39.23335694,-85.15432866,"North Indian, Chinese",$20.00,$50.00,3.4,45,37,30 minutes
ID_2809,39.96341957,-85.49460268,Chinese,$20.00,$50.00,NEW,-,-,30 minutes
ID_5022,39.97170279,-85.73759102,"Chinese, Fast Food",$20.00,$99.00,3.5,63,8,45 minutes
ID_4866,39.10785293,-85.99409462,Lucknowi,$20.00,$50.00,-,-,-,30 minutes
ID_6857,39.86886292,-85.40162847,"South Indian, North Indian",$15.00,$50.00,3.1,253,35,30 minutes
ID_3429,39.31408607,-85.33092024,"Biryani, Chinese",$15.00,$50.00,3.2,4,4,30 minutes
ID_1521,39.61635616,-85.77939082,"Tea, Fast Food",$10.00,$50.00,3.3,12,6,30 minutes
ID_5090,39.79155572,-85.19682518,"Fast Food, Italian, Beverages",$20.00,$50.00,3.9,327,173,45 minutes
ID_348,39.29536284,-85.4130969,"North Indian, Beverages",$25.00,$50.00,3.4,49,36,30 minutes
ID_1443,39.15300254,-85.83125677,Fast Food,$10.00,$50.00,3.3,11,1,30 minutes
ID_8281,39.73816993,-85.98774145,"Street Food, Fast Food, North Indian",$15.00,$50.00,2.9,8,5,45 minutes
ID_4562,39.2460609,-85.24840142,Chinese,$25.00,$50.00,3.8,19,15,30 minutes
ID_156,39.21416154,-85.42028542,"Rolls, Chinese",$10.00,$50.00,3.7,18,6,30 minutes
ID_5570,39.91202387,-85.20009258,"South Indian, Chinese, Street Food",$10.00,$50.00,3.1,7,2,30 minutes
ID_8368,39.24761498,-85.74017071,"North Indian, Mangalorean",$35.00,$50.00,3.5,16,8,45 minutes
